#,Name,Type,Title,Outlet,Semester
1,"Adluri, Sucharita",Review,"Book Review of Doris Srinivasan's ""Listening to Icons""",Annali: Seminatio di Studi asiatici,Summer 2020
2,"Adluri, Sucharita",Journal Publication,Viewing Telugu Inscriptions at Ahobila,South Asian Studies,Fall 2020
3,"Adluri, Sucharita",Presentation,Lives and Afterlives of Texts: Translation and Reception of the Tiruvaymoli. Round Table Discussion of Archana Venkatesan's  Endless Song,American Academy of Religion,Fall 2020
4,"Adluri, Sucharita",Presentation,Vedanta Polemics in Purana Interpretation: Advaita and Visistadvaita Commentaries on the Visnu Purana,Interpretation in Indian Philosophy: Changing Perspectives and Paradigms,Spring 2021
5,"Adluri, Sucharita",Chapter,Textures of Puranic Transmission: A Contemporary Vernacular Exposition of a Sanskrit Purana,Visions and Revisions Of Ancient Indian Narrative: Studies of Sanskrit Epics and Puranas,Summer 2022
6,"Adluri, Sucharita",Presentation,Visions of Vaikuntha: Salvation in Visnu-Narayana's Supreme Abode,Vaikuntha,Fall 2022
7,"Allard, Eric S",Journal Publication,Words matter: Age-related positivity in episodic memory for abstract but not concrete words,"Aging, Neuropsychology, and Cognition",Summer 2020
8,"Allard, Eric S",Poster Presentation,Age similarity in emotion perception based on eye gaze manipulation ,Gerontological Society of America,Fall 2020
9,"Allard, Eric S",Poster Presentation,Older and younger adults reappraise negative life events in different ways,Gerontological Society of America,Fall 2020
10,"Allard, Eric S",Poster Presentation,Mediating role of trait mindfulness on the relationships between age and both depressive and anxiety symptomology,Gerontological Society of America ,Fall 2020
11,"Allard, Eric S",Journal Publication,Attentional Tendencies that Impact Emotion Regulation Success Within a Borderline Personality Disorder Framework,Journal of Personality Disorders,Spring 2021
12,"Allard, Eric S",Journal Publication,Age similarities in matching pro- and contra-hedonic emotional strategies to everyday scenarios,"Aging, Neuropsychology, and Cognition ",Spring 2021
13,"Allard, Eric S",Presentation,The when and how of successful emotion regulation via reappraisal in adulthood and old age,Ohio Association of Gerontology and Education ,Spring 2021
14,"Allard, Eric S",Journal Publication,Age Differences in Reappraisal of Autobiographical Memories ,Experimental Aging Research,Spring 2021
15,"Allard, Eric S",Poster Presentation,Influencing mechanisms on social anxiety and emotion recovery,Midwestern Psychological Association ,Spring 2021
16,"Anderson, David J",Journal Publication,A new LC-MS/MS technique for separation of gangliosides using a phenyl-hexyl column: Systematic separation according to sialic acid class and ceramide subclass,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES ,Spring 2021
17,"Anderson, David J",Poster Presentation,Fundamental Characterization of the Separation of Steroid Isomer Pairs by Reversed-Phase HPLC Using Polarity Models,National Meeting of The Association of Mass Spectrometry: Applications to the Clinical Laboratory (MSACL),Spring 2023
18,"Bailey, Brian K",Creative Performance,CSU Chorale and University Chorus Concert 12.04.21,Concert,Fall 2021
19,"Bailey, Brian K",Creative Performance,CSU Chorale and University Chorus Concert 10.23.21,Concert,Fall 2021
20,"Bailey, Brian K",Creative Performance,CSU Chorale Pre-concert Performance 12.11.21,Cleveland Orchestra Christmas Concert,Fall 2021
21,"Bailey, Brian K",Creative Performance,CSU Chorale Performance 11.12.21,OMEA Districts 4 and 7 Honors Festival,Fall 2021
22,"Bailey, Brian K",Creative Performance,CSU Chorale collaboration with The Cleveland Orchestra Chorus,Cleveland Orchestra Christmas Concerts,Fall 2021
23,"Bailey, Brian K",Creative Performance,CSU Choral Concert with the Olmsted Falls High School Chorale and the Strongsville High School Cantorum 3.10.22,Concert,Spring 2022
24,"Bailey, Brian K",Creative Performance,CSU Choirs at St. Peter Catholic Church 5.11.22,Concert,Spring 2022
25,"Bailey, Brian K",Creative Performance,CSU Chorale with the Cleveland Chamber Choir and Kent State Chorale 2.27.22,Concert: Cecilia and Her World,Spring 2022
26,"Bailey, Brian K",Creative Performance,Choral Arts Cleveland Concert,World Premiere Performance of George Bristow's Mass in C (1885),Summer 2022
27,"Bailey, Brian K",Creative Performance,CSU Chorale midday performance for the D4/D7 High School Honors Choir,Concert,Fall 2022
28,"Bailey, Brian K",Creative Performance,CSU Choral Concert with Guest Ensembles from Perry High School (Lake Co.).,Concert,Fall 2022
29,"Bailey, Brian K",Creative Performance,CSU Choir Concert with Guest Ensembles from Avon High School and Madison High School (Lake Co.).,Concert,Fall 2022
30,"Bailey, Brian K",Creative Performance,CSU Choirs Concert with Guest Ensembles from Eastlake North High School.,Concert,Spring 2023
31,"Bailey, Brian K",Creative Performance,CSU Chorale performance at OMEA Professional Development Conference,Concert,Spring 2023
32,"Bailey, Brian K",Creative Performance,CSU Choirs Concert at Historic St. Peter Catholic Church,Concert,Spring 2023
33,"Bailey, Brian K",Creative Performance,CSU Choirs Concert,Concert,Spring 2023
34,"Baker, Blair Alyse",Journal Publication,“It’s the Teacher’s Responsibility”: Examining Pre-service and In-service Teachers’ Responses to Racial Discrimination ,Journal of Educational & Psychological Consultation ,Summer 2022
35,"Baker, Blair Alyse",Presentation,Examining and Conceptualizing Racial Battle Fatigue Among Black High School Students,National Association of School Psychologists Annual Conference ,Spring 2023
36,"Ban, John K",Creative Production,WCSB Blues music Fund raiser at Wilbert.,Wilbers,Summer 2020
37,"Ban, John K",Creative Production,Cleveland Rock music class performance multicam recording,Cebars Euclid Tavern,Summer 2020
38,"Ban, John K",Creative Production,Engaging Cleveland Neighborhoods,Tremonster TV,Summer 2020
39,"Ban, John K",Creative Production,Ted X Recording,Cleveland State University,Summer 2020
