#,Name,Type,Title,Outlet,Semester
1,"Ahmed, Hassan A",Journal Publication,Addressing the Effectiveness of DDoS-Attack Detection Methods Based on the Clustering Method Using an Ensemble Method  ,MDPI Electronics,Fall 2022
2,"Arndt, Timothy J",Journal Publication,An Evaluation of Security in Blockchain-Based Sharing of Student Records in Higher Education,International Journal of Network Security & Its Applications,Fall 2022
3,"Ataseven, Cigdem",Presentation,"Who Exerts Pressures, and How Do They Do It? A Literature Review of SSCM Pressures, Practices, and Performance",Decision Sciences Institute Annual Meeting,Fall 2022
4,"Ataseven, Cigdem",Presentation,Intellectual Capital and Sustainable Supply Chain Collaboration,Decision Sciences Institute Annual Meeting,Fall 2022
5,"Ataseven, Cigdem",Journal Publication,A review of how pressures and their sources drive sustainable supply chain management practices,Journal of Business Logistics,Spring 2023
6,"Ayaburi, Emmanuel W",Proceedings Publication,Examining Users' Information Disclosure and Audience Support Response Dynamics in Online Health Communities: An Empirical Study,Forty-Third International Conference on Information Systems,Fall 2022
7,"Ayaburi, Emmanuel W",Journal Publication,How Do Individuals Justify and Rationalize their Criminal Behaviors in Online Romance Fraud?,Information Systems Frontiers,Fall 2022
8,"Ayaburi, Emmanuel W",Journal Publication,How do technology use patterns influence phishing susceptibility? A two-wave study of the role of reformulated locus of control,European Journal of Information Systems,Spring 2023
9,"Bakke, Sharen A",Journal Publication,"Unravelling the Mystery of New Technolgy Use: An Investigation into the Interplay of Desire for Control, Computer Self-Efficacy and Personal Innovativeness",AIS Transactions on Human-Computer Interaction,Summer 2022
10,"Brockhaus, Sebastian",Journal Publication,"Lights, Camera, Action: How to Master Supply Chain Complexity",Supply Chain Management Review,Fall 2022
11,"Brockhaus, Sebastian",Journal Publication,Climbing to New Heights: Preparation and Visibility Build the Confidence to Scale the Supply Chain Mountain,Supply Chain Management Review,Spring 2023
12,"Brockhaus, Sebastian",Proceedings Publication,"Study of the Evolution of Supplier Code of Conducts Using Resource Orchestration and Signaling Theory - From Compliance to Progress, From Content to Orchestration",IPSERA,Spring 2023
13,"Celiker, Umut",Journal Publication,Disagreements between Hedge Funds and Non-Hedge Funds,The Financial Review,Summer 2022
14,"Chang, Myong-Hun",Journal Publication,"It's Worth a Shot: Urban Density, Endogenous Vaccination Decisions, and Dynamics of Infectious Disease",Journal of Economic Interaction and Coordination,Spring 2023
15,"Chang, Myong-Hun",Journal Publication,Spatial Disparities in Vaccination and the Risk of Infection in a Multi-Region Agent-Based Model of Epidemic Dynamics,Journal of Artificial Societies and Social Simulation,Spring 2023
16,"Chen, Jen-Yi",Journal Publication,Responsible sourcing and supply chain traceability,International Journal of Production Economics,Summer 2022
17,"Chung, Moonwon",Presentation,An Empirical Investigation of Factors Influencing Performance of Decentralized Applications,Department Workshop,Fall 2022
18,"Chung, Moonwon",Presentation,An Empirical Investigation of Factors Influencing Performance of Decentralized Applications,2022 DSI Annual Conference,Fall 2022
19,"Chung, Moonwon",Journal Publication,Impact of Modularity Design on Mobile App Launch Success,Manufacturing and Service Operations Management,Spring 2023
20,"Davisson, Donna M",Presentation,Stages of Adoption: Obstacles and Solutions for OER adoption,Open Con 2020 Cleveland,Summer 2022
21,"DeGroot, Timothy G",Journal Publication,Examining the Effects of Vocal Attractiveness on Team Performance ,Current Psychology,Summer 2022
22,"DeGroot, Timothy G",Journal Publication,Examining the Issues and Consequences Associated with Grade Distribution Changes,Journal of Management Education,Fall 2022
23,"Deng, Ping",Review,Book review: China's grand strategy: A roadmap to global power?,Pacific Affairs,Spring 2023
24,"Dixit, Ashutosh",Journal Publication,“Can Artificial Intelligence (AI) Overshadow Human Intelligence in Marketing?”, Management and Business Review (Very high-quality ‘A’ Journal as prestigious as Harvard Business Review),Summer 2022
25,"Foltin, L Craig",Presentation,"The Annual Accounting Reports of a Railroad Empire: Information about Innovation, Accounting, Analytics, Financing, and Regulation",American Accounting Association Annual Meeting,Summer 2022
26,"Foltin, L Craig",Presentation,"The Annual Accounting Reports of a Railroad Empire: Information about Innovation, Accounting, Analytics, Financing, and Regulation",American Accounting Association Annual Southeast Conference,Summer 2022
27,"Foltin, L Craig",Journal Publication,"Relevance or Reliability, that is the Question. Can the Accounting Profession have both?",CPA Journal,Summer 2022
28,"Foltin, L Craig",Presentation,"The Visible Hand of Invisible Giants: Annual Reports of a Railroad Empire (1916-1936) Reveal Impact on Innovation, Management, Accounting, Analytics, Financing, and Regulation",Accounting History International Conference,Fall 2022
29,"Foltin, L Craig",Presentation,The Future of Accounting History,American Accounting Association,Spring 2023
30,"Foltin, L Craig",Presentation,"Walter Schuetze and the Numbers Game:  Advocate for Reform, Champion of Independence, Promoter of Fair Value, and Proponent of Simplification
",American Accounting Association Annual Meeting,Spring 2023
31,"Galindo Gil, Hamilton",Journal Publication,Leverage and capital utilization,The European Journal of Finance,Fall 2022
32,"Gallagher, Kevin P",Journal Publication,Sustainability Change Agents: Leveraging Political Skill and Reputation,Journal of Organizational Change Management,Summer 2022
33,"Gallagher, Vickie Coleman",Presentation,Insights into Multidimensional-Fit (MDF): Student Reflection and Empathy-Building through the Lens of the Refugee Employment Journey.,MOBTS,Summer 2022
34,"Gallagher, Vickie Coleman",Presentation,Fulbright is for everyone.  ,Southern Management Association ,Fall 2022
35,"Gallagher, Vickie Coleman",Poster Presentation,Lost in translation: Expectations and employment among refugees and immigrants in the U.S. versus Spain. A replication study,European Association of Work and Organizational Psychology (EAWOP),Spring 2023
36,"Heath, Michele L",Journal Publication,Poor Medication Compliance in African Americans and a Strategy for Improvement,Journal of Racial and Ethnic Health Disparities ,Summer 2022
37,"Heath, Michele L",Journal Publication,Hospital Characteristics Associated with HIPAA Breach,International Journal of Healthcare Management,Summer 2022
38,"Heath, Michele L",Journal Publication,Experiential Learning Activity to Amerliorate Workplace Bullying,Organization Management Journal ,Summer 2022
