#,Name,Type,Title,Outlet,Semester
1,"Ao, Geyou",Journal Publication,Carbohydrate-and Chain Length-Controlled Complexation of Carbon Nanotubes by Glycopolymers,Langmuir,Summer 2020
2,"Ao, Geyou",Presentation,(Invited) Surface Engineered Pure-Chirality Carbon Nanotubes with Carbohydrate Functionalities,237th ECS Meeting with the 18th International Meeting on Chemical Sensors (IMCS 2020),Summer 2020
3,"Ao, Geyou",Journal Publication, Chirality-pure carbon nanotubes show distinct complexation with recognition DNA sequences,Carbon,Summer 2020
4,"Ao, Geyou",Poster Presentation,Aqueous Dispersion and Characterization of Glycopolymers-Wrapped Carbon Nanotubes,2020 American Institute of Chemical Engineers Annual Meeting,Fall 2020
5,"Ao, Geyou",Presentation,Noncovalent Complexation of Nanomaterials with Biomolecules,Society of Physics Students/Choose Ohio First-Math Meeting,Fall 2020
6,"Ao, Geyou",Poster Presentation,Scalable and Effective Dispersions of Boron Nitride Nanotubes by DNA in Alcohol/Water Mixtures,2020 American Institute of Chemical Engineers Annual Meeting,Fall 2020
7,"Ao, Geyou",Presentation,Engineering Nanomaterial Surfaces using Biomolecules,CSU Center for Applied Data Analysis and Modeling (ADMA) seminar,Fall 2020
8,"Ao, Geyou",Presentation,DNA-Wrapped Boron Nitride Nanotubes in Alcohol/Water Mixture Systems: Experimental and Simulation Study,2020 American Institute of Chemical Engineers Annual Meeting,Fall 2020
9,"Ao, Geyou",Presentation,Synergistic Effects of Carbohydrate Identity and Polymer Chain Length on Creating Glycopolymer-Wrapped Carbon Nanotubes,2020 American Institute of Chemical Engineers Annual Meeting,Fall 2020
10,"Ao, Geyou",Presentation,"Biopolymer-Complexed Carbon Nanotubes: Synthesis, Optical Properties, and Applications",The Ohio State University,Spring 2021
11,"Ao, Geyou",Journal Publication,Surface Coating- and Light- Controlled Oxygen Doping of Carbon Nanotubes,The Journal of Physical Chemistry C,Spring 2021
12,"Ao, Geyou",Presentation,Controlled Processing of Carbon Nanotubes by Biopolymers,"Department of Chemical and Biomolecular Engineering, Ohio University",Spring 2021
13,"Ao, Geyou",Presentation,Glycopolymer-Wrapped Carbon Nanotubes for Profiling Carbohydrate-Protein Interactions ,239th Electrochemical Society Meeting,Summer 2021
14,"Ao, Geyou",Presentation,Nanomaterials: Surface Chemistry and Applications,Society of Physics Students/Choose Ohio First-Math Meeting,Fall 2021
15,"Ao, Geyou",Journal Publication,Boron nitride nanotubes enhance mechanical properties of fibers from nanotube/polyvinyl alcohol dispersions,Nanoscale Advances,Fall 2021
16,"Ao, Geyou",Journal Publication,Interaction of DNA-Complexed Boron Nitride Nanotubes and Cosolvents Impacts Dispersion and Length Characteristics,Langmuir,Fall 2021
17,"Ao, Geyou",Journal Publication,Glycopolymer-Wrapped Carbon Nanotubes Show Distinct Interaction of Carbohydrates with Lectins,Frontiers in Chemistry,Spring 2022
18,"Ao, Geyou",Presentation,Liquid Phase Processing of Boron Nitride Nanomaterials for Sunscreens and Thermal Management Applications,"Invited Talk at Momentive Technologies, Strongsville, OH",Spring 2022
19,"Ao, Geyou",Presentation,Dispersion and Assembled Films of Biomolecule-Stabilized Boron Nitride Nanotubes,American Chemical Society Spring 2022 Meeting,Spring 2022
