#,Name,Type,Title,Outlet,Semester
1,"Adedipe, Adebimpe O",Poster Presentation,The Struggle for Schizophrenia Treatment: An Interprofessional Approach. ,XXXVth International Congress on Law and Mental Health.,Summer 2022
2,"Allensworth-Davies, Donald",Presentation,A three-hour virtual functional food outbreak exercise,"Association for Prevention, Teaching and Research Annual Meeting",Spring 2022
3,"Allensworth-Davies, Donald",Journal Publication,A Systematic Literature Review of Community-based Participatory Health Research with Sexual and Gender Minority Communities,Health Equity,Summer 2022
4,"Ausherman, Judy A",Journal Publication,Oral Language Challenges in University Classrooms:Building Health Communication through a Constructivist Theoretical Framework,International Journal of Interdisciplinary Educational Studies,Summer 2021
5,"Ausherman, Judy A",Journal Publication,Historical Research of Health Education Conference Themes (Part 2) from 2010 to 2019: Three Goals for Teaching Health Education History,The Health Educator,Summer 2021
6,"Ausherman, Judy A",Presentation,Consumer decision-making styles in sport products: Gender and age group differences.,"North American Society for Sport Management Conference, Pittsburgh, Philadelphia.",Summer 2022
7,"Ausherman, Judy A",Presentation,Building A Community Of Learners Through Strong Partnerships,Professional Development Schools National Conference,Summer 2022
8,"Ausherman, Judy A",Presentation,Health and Opiate Prevention Education Curriculum Overview,"Ohio Association for Health , Physical Education, Recreation, and Dance (OAHPERD)",Summer 2022
9,"Ausherman, Judy A",Presentation, Cultivating 21st Century Skills: How School Gardening Enhances Health Literacy,AAHPERD National Conference,Summer 2022
10,"Ausherman, Judy A",Poster Presentation,Creating an Interdisciplinary Garden-based Learning Curriculum: Lessons  from the Field,AAHPERD National Conference,Summer 2022
11,"Ausherman, Judy A",Presentation,Voicethread for Engaging Learners,March for Best Practices Faculty Roundtable Discussion,Summer 2022
12,"Ausherman, Judy A",Presentation, Health Education Assessments: Teacher Training.,Professiona Development Workshop,Summer 2022
13,"Ausherman, Judy A",Presentation,Thematic Textual Analysis of Picture Books for Health Education,AAHPERD National Conference,Summer 2022
14,"Ausherman, Judy A",Presentation,Comparison of NCHRB and NCHA surveys: Implications for university populations,AAHPERD National Conference,Summer 2022
15,"Ausherman, Judy A",Presentation,Health Education Assessments: The Latest and Greatest Tools,OAHPERD Stae Conference,Summer 2022
16,"Ausherman, Judy A",Presentation,Teamwork Builds Healthy Schools: How Shared Leadership Produces Results,American School Health Association,Summer 2022
17,"Ausherman, Judy A",Poster Presentation,Psychometric Development of Child Gardening Surveys Aligned to Social Cognitive Theory,"Society of Public health Education (SOPHE) National Conference,Columbus, OH.",Summer 2022
18,"Ausherman, Judy A",Presentation,Collaboration Among University Teacher Prep Programs: Keys for Survival and Success,"Ohio Association for Health, Physical Education, Recreation and Dance (OAHPERD)",Summer 2022
19,"Ausherman, Judy A",Presentation,Construct validity of the Purchasers Style Inventory for Sports Products (PSISP) in the Chinese context.,"North American Society for Sport Management Conference, Pittsburgh, Philadelphia.",Summer 2022
20,"Ausherman, Judy A",Presentation,"Using Garden-Related Story Books as a Vehicle for Critical and Creative 	 Thinking.",Ohio State University Extension’s School Garden Conference,Summer 2022
21,"Ausherman, Judy A",Presentation,Critical and Creative Thinking in Health Education,OAHPERD Summer Institute,Summer 2022
22,"Ausherman, Judy A",Presentation,Integrating Gardening Concepts for Teaching,Youth Gardening Symposium- OSU Extention,Summer 2022
23,"Ausherman, Judy A",Presentation,Using Picture books to Integrate Health Education Concepts for Teaching,OAHPERD Summer Institute ,Summer 2022
24,"Ausherman, Judy A",Poster Presentation,On-Line Courses: Are You Meeting the Quality Matters Standards?,American School Health Association National Conference (ASHA),Summer 2022
25,"Ausherman, Judy A",Presentation,Using Garden-Related Story Books as a Vehicle for Critical and Creative Thinking,Ohio State University Extension's School Garden Conference,Summer 2022
26,"Ausherman, Judy A",Journal Publication, A Historical Interpretation of How 19th and 20th Century Books Contributed an Early  Language and Vocabulary for Health Literacy,Journal of Eta Sigma Gamma,Summer 2022
27,"Ausherman, Judy A",Presentation,Health and Opiate Prevention Education Curriculum,"Ohio Association for Health, Physical Education, Recreation, and Dance",Summer 2022
28,"Ausherman, Judy A",Poster Presentation,It Takes a Village: Keys that Open Strong Collaboration and Partnerships for a Healthy School Program,"ASHA National Conference, ",Summer 2022
29,"Ausherman, Judy A",Poster Presentation,Psychometric Development of Child Gardening Surveys Aligned to Social Cognitive Theory,Society of Public Health Educators (SOPHE),Summer 2022
30,"Ausherman, Judy A",Journal Publication,Everyone Dies-So Why Not Talk About It,"Pathways to Research, EBSCO",Fall 2022
31,"Boehme, Reinhild F",Presentation,Caring for Each other in Very Anxious Times,Staff Event,Fall 2020
32,"Boehme, Reinhild F",Presentation,Telehealth: Strategies for Engaging with Younger Children ,Ohio Virtual Neighborhood Connections,Fall 2020
33,"Boehme, Reinhild F",Presentation,Bridging the Gap: Connecting Suicide Prevention with Trauma-Informed Environments,Virtual Conference,Fall 2020
34,"Boehme, Reinhild F",Presentation,Self-Care in Very Anxious Times,"Staff Event, Lorain County Children's Services",Fall 2020
35,"Boehme, Reinhild F",Presentation,Building Trauma Sensitive Schools,Training Event,Spring 2021
36,"Boehme, Reinhild F",Presentation,Collective Trauma and Resilience,8th Annual Trauma-Informed Care Summit,Spring 2021
37,"Boehme, Reinhild F",Other,Let Me Tell You – Communication Skills for Children,OhioGuidestone Internal Publication,Fall 2021
38,"Boehme, Reinhild F",Other,Psychosocial Rehabilitation Manual: Small Steps,OhioGuidestone Internal Publication,Fall 2021
39,"Boehme, Reinhild F",Other,Psychosocial Rehabilitation for Anger ,OhioGuidestone Internal Publication,Fall 2021
40,"Boehme, Reinhild F",Other,Psychosocial Rehabilitation For Relational Struggles with Children,OhioGuidestone Internal Publication,Fall 2021
41,"Boehme, Reinhild F",Other,"Let’s Get it Done – Psychosocial Rehabilitation (PSR) Manual, ",OhioGuidestone Internal Publication,Fall 2021
42,"Boehme, Reinhild F",Other,Dump the Dumps - Psychosocial Rehabilitation,OhioGuidestone Internal Publication,Spring 2022
43,"Boehme, Reinhild F",Other,Psychosocial Rehabilitation for Anger ,OhioGuidestone Internal Publication,Spring 2022
44,"Boehme, Reinhild F",Other,Loving Myself - Psychosocial Rehabiliation,OhioGuidestone Internal Publication,Spring 2022
45,"Boehme, Reinhild F",Other,How to Soar - ,OhioGuidestone Internal Publication,Spring 2022
46,"Boehme, Reinhild F",Other,Fully Present-Mindfulness for Psychosocial Rehabilitation,OhioGuidestone Internal Publication,Spring 2022
47,"Boehme, Reinhild F",Other,Psychosocial Rehabilitation – Sleep Hygiene,OhioGuidestone Internal Publication,Spring 2022
48,"Boehme, Reinhild F",Poster Presentation,Fully Seen -Spirituality in Mental Health Treatment,Natcon - National Council for Wellbeing,Spring 2022
49,"Boehme, Reinhild F",Presentation,The Politics and Poetics of Self Care,NASW Ohio Annual Conference,Fall 2022
50,"Boehme, Reinhild F",Presentation,Transforming Trauma - Spirituality and Healing,Ohio Trauma Informed Care Summit ,Spring 2023
51,"Boehme, Reinhild F",Presentation,Trauma and Toxic Stress - Recognizing and Implementing Trauma Informed Practices in Legal Environments,"Student Public Interest Organization, School of Law Event",Spring 2023
52,"Cefo, Linda M",Presentation,A Qualitative Study Exploring the Development of Clinical Reasoning in Nursing Clinical Education Settings,New Connections in Health Care Research Day,Summer 2022
53,"Chilton, Robin Lynn",Presentation,Promoting Older Adult Sexual Health and Sexual Activity by Occupational Therapy Practitioners,Two-Hour Online Educational Course,Summer 2021
54,"Chilton, Robin Lynn",Presentation,Promoting Older Adult Sexual Health and Sexual Activity by Occupational Therapy Practitioners through Continuing Education,Doctor of Occupational Therapy Capstone Colloquium,Summer 2021
55,"Chilton, Robin Lynn",Poster Presentation,Addressing OT Practitioners’ Knowledge and Attitudes about Older Adult Sexual Health and Sexual Activity through Continuing Education,2022 National American Occupational Therapy Association Annual Conference,Spring 2022
56,"Chilton, Robin Lynn",Other,OTH 791: Special Topics: Telehealth with Community-Dwelling Well-Elderly,New course elective developed for and instructed in the CSU OTD Program,Fall 2022
57,"Chilton, Robin Lynn",Poster Presentation,PillOTalk: Promotion of Older Adult Sexual Health & Sexual Activity by OT Practitioners,American Occupational Therapy Annual Conference,Spring 2023
58,"Chilton, Robin Lynn",Other,OTH 750: Service Learning with Older Adults at St. Augustine Manor,"Developed a new Service Learning course for the CSU OTD Program where students facilitated groups with older adult residents at St. Augustine Manor in Cleveland, Ohio",Spring 2023
59,"Clark, Michelle Madeleine",Poster Presentation,The investigating meaning/purpose and connectedness (IMPACT) study: A comparative case study of parents of adult children with schizophrenia,American Psychiatric Nurses Association Annual Conference,Fall 2020
60,"Clark, Michelle Madeleine",Presentation,Panel Discussion on Compassion Fatigue and Resilience ,Cleveland State University,Spring 2021
61,"Clark, Michelle Madeleine",Journal Publication,Spirituality in Psychiatric Nursing: A Concept Analysis,Journal of the American Psychiatric Nurses Association,Spring 2021
62,"Clark, Michelle Madeleine",Other,The Investigating Meaning/Purpose and Connectedness (IMPACT) Study: A Comparative Case Study of Parents of Adult Children with Schizophrenia,ProQuest,Summer 2021
63,"Collins, Cyleste Cassandra",Journal Publication,Losing hold of the American Dream: A qualitative exploration of the relationship between foreclosure and psychological and physical health,Journal of Family Issues,Summer 2020
64,"Collins, Cyleste Cassandra",Review,"Book Review: Reproductive injustice: Racism, pregnancy, and premature birth",Affilia: Journal of Women and Social Work,Fall 2020
65,"Collins, Cyleste Cassandra",Journal Publication,Exploring the association between housing insecurity and child welfare involvement: A systematic review. ,Children and Youth Services Review,Fall 2020
66,"Collins, Cyleste Cassandra",Journal Publication,"Family critical time intervention with housing unstable, child welfare-involved families: Service providers' and families' experiences with the phases",Children and Youth Services Review,Fall 2020
67,"Collins, Cyleste Cassandra",Presentation,Five Years of Partnering for Family Success: Lessons Learned,Philanthropy Forward 2020,Fall 2020
68,"Collins, Cyleste Cassandra",Journal Publication,Equine Facilitated Psychotherapy with Young People: Why Insurance Coverage Matters,Child Adolesc Soc Work J,Fall 2020
69,"Collins, Cyleste Cassandra",Chapter,Speaking the previously unspeakable: How codifications of spousal rape into law affects how intimate partner sexual assaults are reported,Sexual violence in intimacy: Implications for research and policy in global health,Fall 2020
70,"Collins, Cyleste Cassandra",Presentation,Reducing racial and economic inequality through community-based birth work,COTAD Interprofessional Event,Spring 2021
71,"Collins, Cyleste Cassandra",Presentation,Health Care Panel Presenter,Project 400: Confronting the Twin Pandemics: Covid-19 & Racial Injustice,Spring 2021
72,"Collins, Cyleste Cassandra",Presentation,“ She went above and beyond”: A mixed-methods examination of implementing CTI with housing-unstable families whose children are in foster care ,Society for Social Work Research Annual Meeting,Spring 2021
73,"Collins, Cyleste Cassandra",Presentation,Exploring challenges and facilitators to reunification for homeless families,Society for Social Work Research,Spring 2021
74,"Collins, Cyleste Cassandra",Poster Presentation,Flipping the Classroom on Zoom: Experiences from a Graduate Social Work Course,Provost’s Teaching Summit ,Summer 2021
75,"Collins, Cyleste Cassandra",Journal Publication,Experiences of Black women during pregnancy: The meaning of perinatal support. ,American Journal of Orthopsychiatry,Summer 2021
76,"Collins, Cyleste Cassandra",Journal Publication,Families with Black caregivers were more likely to reunify? Explaining findings from an RCT for housing-unstable families with children in out-of-home placement.,Child Welfare,Summer 2021
77,"Collins, Cyleste Cassandra",Poster Presentation,Experiences of pregnant Black women during COVID-19. ,National Association of Social Workers Ohio Chapter,Fall 2021
78,"Collins, Cyleste Cassandra",Presentation,Reunification for Children with Inadequate Housing Removals: A Longitudinal Analysis of Afcars Data,Society for Social Work and Research,Spring 2022
79,"Collins, Cyleste Cassandra",Presentation,"Using big data to improve child welfare practices and policies, Symposium, Paper #4.",2022 Quebec City Congress ,Spring 2022
80,"Collins, Cyleste Cassandra",Journal Publication,Black women’s experiences with professional accompaniment at prenatal appointments,Ethnicity & Health,Spring 2022
81,"Collins, Cyleste Cassandra",Journal Publication,Facilitators and barriers to reunification among housing unstable families,Children and Youth Services Review,Summer 2022
82,"Collins, Cyleste Cassandra",Presentation,Improving Black Women’s Pregnancy and Birth Experiences Before and During COVID through Community Perinatal Support Doula Advocacy,APHA Annual Meeting and Expo,Summer 2022
83,"Collins, Cyleste Cassandra",Presentation,Lessons Learned from a Program Training Perinatal Support Doulas as Community Health Workers,APHA Annual Conference and Expo,Summer 2022
84,"Collins, Cyleste Cassandra",Journal Publication,Factors leading to foster care re-entry: Experiences of housing unstable families,Families in Society,Summer 2022
85,"Collins, Cyleste Cassandra",Journal Publication,Children removed for inadequate housing are less likely to be reunified than peers: Analysis from AFCARS data., Journal of Public Child Welfare,Summer 2022
86,"Collins, Cyleste Cassandra",Journal Publication,Community Members as Reviewers of Medical Journal Manuscripts: a Randomized Controlled Trial,Journal of general internal medicine,Fall 2022
87,"Collins, Cyleste Cassandra",Journal Publication,Increasing research capacity in community organizations: Findings from the Community Research Scholars Initiative,Evaluation and program planning,Spring 2023
88,"Collins, Michele M",Presentation,Tipping the Scales for Balance Training: An intensity based approach to treating balance disorders.,University Hospitals Rehabilitation Services Neuro Conference 2021 – Advancements in Neurorehab,Fall 2021
89,"Cox, Violet O",Presentation,"""Plummer Vinson Syndrome: Effects on swallowing""",Speech language pathologists Connections,Spring 2022
90,"Crawley, Manuella Barbosa",Presentation,Stress Management while teaching during the COVID pandemic,Faculty Affairs Committee - College of Education- Cleveland State University,Spring 2021
91,"Crawley, Manuella Barbosa",Presentation,Critical Partnership: Instructional Designer and Faculty,QM Ohio AMM21 Annual Conference,Spring 2021
92,"Crawley, Manuella Barbosa",Chapter,Course Design and strategies for Active Online Learning,Teaching Large Online and Blended Classe,Summer 2021
93,"Davis, Jamil E",Other,Importance of Early Recognition of Extrapyramidal Symptoms (EPS) in a Community Mental Health Clinic,,Spring 2021
94,"DeBoth, Kelle Kathleen",Journal Publication,Efficacy of occupational therapy intervention using a musical keyboard for children with visual impairments,"Journal of Occupational Therapy, Schools & Early Intervention ",Summer 2020
95,"DeBoth, Kelle Kathleen",Journal Publication,Caregiver Perceptions of Child Participation in Sensory Friendly Community Events,Focus on Autism and Other Developmental Disorders ,Summer 2020
96,"DeBoth, Kelle Kathleen",Presentation,New Kids on The Block: Helping new faculty to hang tough,Annual American Occupational Therapy Association (AOTA) National Conference ,Summer 2020
97,"DeBoth, Kelle Kathleen",Poster Presentation,Community Based Sensory Friendly Time Partnership: Parent Perceptions and Child Engagement,Annual American Occupational Therapy Association (AOTA) National Conference,Summer 2020
98,"DeBoth, Kelle Kathleen",Journal Publication,Caregivers Perceptions of Child Participation During Sensory Friendly Community Events,"Journal of Occupational Therapy, Schools & Early Intervention",Spring 2021
99,"DeBoth, Kelle Kathleen",Chapter,Family Health: Children and Youth,"Interprofessional and Community-oriented Practice: Promoting health, well-being and quality of life",Summer 2021
100,"DeBoth, Kelle Kathleen",Chapter,Occupational Health: Children and Youth,"Interprofessional and Community-oriented Practice: Promoting health, well-being and quality of life",Summer 2021
101,"DeBoth, Kelle Kathleen",Journal Publication,Neurophysiological Correlates of Sensory-Based Phenotypes in Autism,Child Psychiatry & Human Development ,Fall 2021
102,"DeBoth, Kelle Kathleen",Journal Publication,Preparing the Next Generation for the Unreal,Change Forward: Visions and Voices of Higher Education’s Future,Spring 2022
103,"DeBoth, Kelle Kathleen",Journal Publication,Observations of Child Behaviors and Responsivity During Sensory Friendly Community Events. ,Leisure Sciences,Spring 2022
104,"DeBoth, Kelle Kathleen",Poster Presentation,An Interprofessional Approach for OT Students To Address & Understand the Opioid Epidemic,"AOTA (The American Occupational Therapy Association, Inc.) Annual Conference & Expo",Summer 2022
105,"DeBoth, Kelle Kathleen",Journal Publication,A Systematic Review of Occupational Therapy-Related Interventions for Pediatric Chronic Pain. ," OTJR: Occupation, Participation and Health",Fall 2022
106,"DeBoth, Kelle Kathleen",Journal Publication,The value of learning virtual interprofessional collaboration during a pandemic and the future “new normal”: health professions students share their experiences,Journal of Interprofessional Care,Spring 2023
107,"DeBoth, Kelle Kathleen",Presentation,Qualitative Evaluation of Interprofessional Education Experiential Learning (IPEEL) for Health Professional Students,Collaborating Across Borders (CAB VIII),Spring 2023
108,"DeMarco, Joanna Lynn",Other,Enhancing Students Interprofessional Team Experience Using Simulation,,Summer 2020
109,"DeMarco, Joanna Lynn",Other,Using the Health Education Curriculum Assessment Tool (HECAT) in Review of Health Curriculum,,Summer 2020
110,"DeMarco, Joanna Lynn",Other,Increasing Awareness of Occupational Therapy in Pre-Service Teachers,,Summer 2020
111,"DeMarco, Joanna Lynn",Poster Presentation,Adapting a Student Honorary for a Virtual Health Promotion Program,SOPHE Annual Conference,Spring 2021
112,"DeMarco, Joanna Lynn",Presentation,Higher Education Innovations to Advance Equity: Implementing Equity Task Force Recommendations to Improve Academic Success,Ohio SOPHE Health Educator's Institute,Fall 2022
113,"DeMarco, Joanna Lynn",Presentation,Navigating Ethical Dilemmas: Professional Ethics in a Changing Society,National Health Education Week,Spring 2023
