#,Name,Type,Title,Outlet,Semester
1,"Chien, Shih-Chun",Presentation,Cultivating Sense: Culture Change in the Prosecutor’s Office,2022 Criminal Justice Ethics Schmooze,Summer 2022
2,"Chien, Shih-Chun",Presentation,Diversity and U.S. Judicial Clerkships: Preliminary Findings from the Law School Study,Law and Society Association Annual Conference,Summer 2022
3,"Chien, Shih-Chun",Presentation,A Portrait of Asian Americans in the Law 2.0: Identity and Action in Challenging Times,2022 National Asian Pacific American Bar Association (NAPABA) Convention,Fall 2022
4,"Chien, Shih-Chun",Journal Publication,Cultivating the Sense: Culture Change in the Prosecutor’s Office,MINNESOTA JOURNAL OF INT'L LAW,Spring 2023
5,"Chien, Shih-Chun",Presentation,Drug Courts in the United States,International Conference on Drug Addiction Treatment and Policy,Spring 2023
6,"Chien, Shih-Chun",Presentation,Serving the Public Good: Some New Data on an Old Question,2023 Association of American Law Schools (AALS) Annual Meeting,Spring 2023
7,"Geier, Deborah A",Book,Federal Income Taxation of Individuals 2021,CALI eLangdell,Spring 2021
8,"Green, Matthew W",Presentation,Requesting Acommodations as a Law Professor ,Association of American Law Schools,Fall 2022
9,"Green, Matthew W",Presentation,Sex-Segregated Spaces and Transgender Students: What Rights does Title IX of the Education Amendments Act of 1972 Provide?,Symposium,Spring 2023
10,"Heyward, Carole O",Other,Externships 10/2020 Syracuse University College of Law,Member of the Conference Planning Committee - Summer 2019 to Fall 2020,Fall 2021
11,"Hoffman, Laura Courtney",Presentation,Reconnecting the Patient: Why Telehealth Policy Solutions Must Consider the Deepening Digital Divide,2021 IU Robert H. McKinney School of Law Health Law Review Symposium,Summer 2021
12,"Hoffman, Laura Courtney",Journal Publication,Reconnecting the Patient: Why Telehealth Policy Solutions Must Consider and Address the Deepening Digital Divide,Indiana Health Law Review,Summer 2022
13,"Hoffman, Laura Courtney",Presentation,"Access Denied: Confronting Issues of Accessibility and Legal Enforcement Involving Telehealth for People with Disabilities  
",2022 Health Law Professors Conference,Summer 2022
14,"Hoffman, Laura Courtney",Presentation,"Access Denied: Accessibility and the Law of Telehealth for People with Disabilities
 
 ",American Association of Law Schools (AALS) 2023 Meeting,Spring 2023
15,"Kalir, Doron M",Journal Publication,The Inner Logic of Bostock,Wake-Forest Law Review Online ,Spring 2021
16,"Kowalski, Kenneth J",Presentation,Anticipated Changes in Employment Law Under the Biden Administration,"Presentation to the Cleveland Employment Inn of Court, group of attorneys who practice employment law",Spring 2021
17,"Laser, Christa Jordan",Journal Publication,Equitable Defenses in Patent Law,75 U. MIA. L. REV. 1 (2020),Fall 2020
18,"Laser, Christa Jordan",Journal Publication,Certiorari in Patent Cases at the Supreme Court,AIPLA Q.J.,Fall 2020
19,"Laser, Christa Jordan",Journal Publication,Certiorari in Patent Cases at the Supreme Court,48 AIPLA Q.J. 569 (2020),Fall 2020
20,"Laser, Christa Jordan",Journal Publication,Equitable Defenses in Patent Law,U. MIA. L. REV.,Fall 2020
21,"Laser, Christa Jordan",Journal Publication,"Rethinking Patent Law's Exclusive Appellate Jurisdiction, 71 Clev. St. L. Rev. 19 (2022) ",Cleveland State Law Review,Fall 2022
22,"Laser, Christa Jordan",Presentation,"Presenter, O’Malley Inn of Court, Legal Issues & Professional Ethics in Generative AI (2023).",Inn of Court,Spring 2023
23,"May, Claire C Robinson",Presentation,"Reflecting on the Drawbacks of the Traditional ""Helper"" Pedagogy: Envisioning Improved Student Professionalism and Greater Balance in Our Professional Lives",Rocky Mountain Legal Writing Conference,Summer 2020
24,"May, Claire C Robinson",Chapter,Commentary on In re Will of Moses,Feminist Judgments: Rewritten Trusts & Estates Opinions,Fall 2020
25,"May, Claire C Robinson",Chapter,Learning by Doing: Lessons from an Integrated Doctrine and Drafting Course,Lawyering Skills in the Doctrinal Classroom: Using Legal Writing Pedagogy to Enhance Teaching Across the Law School Curriculum ,Fall 2020
26,"Mika, Karin",Journal Publication,"Stories Lived, Stories Told: The Significance of Survivor Stories in our Populist World",", INTERNATIONAL JOURNAL OF ARTS, HUMANITIES & SOCIAL SCIENCE (IPRPD)",Summer 2021
27,"Mika, Karin",Journal Publication,"The Pandemic and Resisting the Lure of the 24/7 Legal Writing Professional, ",The Second Draft,Fall 2021
28,"Mika, Karin",Presentation,"Lexis Artificial Intelligence, Friend or Foe? ",Rocky Mountain Legal Writing Conference,Spring 2022
29,"Mika, Karin",Presentation,"An epigenetic look at the future of an empire:  Santayana, Hitler, and the fate we are doomed to repeat,.",Faculty presentation,Spring 2022
30,"Mika, Karin",Journal Publication,Obergefell v. Hodges—and the Use of Oral Argument and Storytelling to Reinforce Competencies in the Legal Writing Classroom,Perspectives,Spring 2022
31,"Mika, Karin",Journal Publication,A Stitch in Time Saves Nine; How the State of Ohio Can Save Money and Distress Through Legal Training for Pre-Service Teachers,Dayton Law Review,Summer 2022
