#,Name,Type,Title,Outlet,Semester
1,"Andrei, Elena",Chapter,Suntem profesori / We are teachers: Self-exploration as a pathway to language teacher education. ,"N. Rudolph, A.F. Selvi, & B. Yazan (Eds.), The complexity of identity and interaction in language education",Fall 2020
2,"Andrei, Elena",Journal Publication,A portrait of faculty in TESOL programs in Ohio,The Ohio Journal of Teacher Education ,Fall 2020
3,"Andrei, Elena",Presentation,Literacy activities for newcomer multilingual seniors in the era of high school graduation requirements,Literacy Research Association’s 70th Virtual Annual Conference,Fall 2020
4,"Andrei, Elena",Chapter,"No, Professor, that is not true: First attempts at introducing translanguaging to pre-service teachers. ","Z. Tian, L. Aghai, P. Sayer, & J. Schissel (Eds.), Envisioning TESOL through a translanguaging lens: Global perspectives",Fall 2020
5,"Andrei, Elena",Presentation,"Too many books, too little time: Examining frameworks for text selection and instructional design from multiple perspectives."," International Literacy Association, Columbus (accepted, 2020, conference cancelled due to COVID19)",Fall 2020
6,"Andrei, Elena",Presentation,Transnationalism and intersectional identities in language teacher education,TESOL International Virtual Convention,Spring 2021
7,"Andrei, Elena",Presentation,No professor! First attempts at introducing translanguaging to pre-service teachers,TESOL International Virtual Convention,Spring 2021
8,"Andrei, Elena",Presentation, Online professional development resources for teachers of English learners: A state-by-state analysis,Literacy Research Association’s 70th Virtual Annual Conference,Spring 2021
9,"Andrei, Elena",Poster Presentation,Teaching language arts at a newcomers academy: Challenges and successes,TESOL International Virtual Convention,Spring 2021
10,"Andrei, Elena",Presentation,The stories behind multilingual writers' texts: teacher development through interactional histories analyses,American Association of Applied Linguistics Virtual Conference,Spring 2021
11,"Andrei, Elena",Journal Publication,Inconsistencies in English learner identification: An inventory of how home language surveys across U.S. states screen multilingual students.  ,AERA Open,Spring 2021
12,"Andrei, Elena",Journal Publication,Vocabulary instruction for grades 3-8 English learners: An analysis of resources. ,TESOL Journal. doi:10.1002/tesj.529 ,Spring 2021
13,"Andrei, Elena",Other,Keeping in touch with students/parents via texts,Cleveland Teaching Collaborative,Spring 2021
14,"Andrei, Elena",Chapter,Promoting culture and identity through local action plans for additive multilingualism,Language teacher education for Global Englishes: A practical resource book ,Spring 2021
15,"Andrei, Elena",Presentation,A teacher’s knowledge and planning English language arts for newcomer multilingual seniors,Ohio Deans Compact Virtual Conference,Spring 2021
16,"Andrei, Elena",Journal Publication,Mystery solved: Who are TESOL faculty at US universities? Multicultural Learning and Teaching. doi:10.1515/mlt-2019-0010,Multicultural Learning and Teaching,Spring 2021
17,"Andrei, Elena",Presentation,Teacher action research: Teaching word-learning strategies to sixth grade newcomers,TESOL International Virtual Convention,Spring 2021
18,"Andrei, Elena",Chapter,"Dialoguing as transnational professional mothers: Our intersectional identities as transnationals, parents, and language teacher educators","Transnational identities, pedagogies, and practices in English language teaching: Critical inquiries from diverse practitioners. ",Summer 2021
19,"Andrei, Elena",Presentation,Dismantling language dichotomies in teacher education,AERA Annual Meeting,Spring 2022
20,"Andrei, Elena",Presentation,Visuals and realia in remote learning: Lessons learned,TESOL International Convention,Spring 2022
21,"Andrei, Elena",Poster Presentation,Digital literacies in the era of online teaching: An oxymoron? ,TESOL International Convention,Spring 2022
22,"Andrei, Elena",Presentation,"Transnational professional mothers: Examining our intersectional identities as transnationals, parents, and language teacher educators",American Association of Applied Linguistics,Spring 2022
23,"Andrei, Elena",Presentation,English learners access to instruction in upper-elementary school,AERA Annual Meeting,Spring 2022
24,"Andrei, Elena",Journal Publication,Attending to the interactional histories behind multilingual writers’ texts: New directions in TESOL teacher education,TESOL Quarterly,Spring 2022
25,"Andrei, Elena",Presentation,Teaching theories about hybrid language practices: Help for teacher educators,TESOL International Convention,Summer 2022
26,"Andrei, Elena",Presentation,Using technology to support ELs vocabulary development in the classroom, TESOL International Convention,Summer 2022
27,"Andrei, Elena",Journal Publication,Online professional development resources for teachers of English learners: A state-by-state analysis. ,TESL-EJ,Fall 2022
28,"Andrei, Elena",Presentation,State literacy initiatives in the era of Science of Reading,Literacy Research Association,Fall 2022
29,"Andrei, Elena",Journal Publication,Teaching newcomers English Learners: Visuals and realia in remote learning,"Ubiquity: The Journal of Literature, Literacy, and the Arts",Fall 2022
30,"Andrei, Elena",Chapter,Resources and materials used in an English language arts newcomer class for seniors in the US,"D. LaScotte, C. Mathieu, & S. David (Eds.), New perspective on materials mediation in language teaching and learning",Fall 2022
31,"Andrei, Elena",Presentation," Intersectional identities as transnationals, language teacher educators and parents of multilinguals",SE TESOL ,Fall 2022
32,"Andrei, Elena",Journal Publication,Moving beyond language dichotomies in the education of multilingual students: Recontextualizing teacher resistance,International Multilingual Research Journal,Spring 2023
33,"Andrei, Elena",Poster Presentation,"""I’m excited about the future!”: A teaching-research collaboration",TESOL International Convention,Spring 2023
34,"Andrei, Elena",Presentation,Project HEART. Diversifying the educator workforce: What's happening across the country,Deans Compact and Ohio Confederation of Teacher Education Organizations online conference,Spring 2023
35,"Andrei, Elena",Presentation,Newcomer multilingual learners learning math: A teacher-led research,TESOL International Convention,Spring 2023
36,"Andrei, Elena",Presentation, Analyzing teachers’ stories about ESL Identification: Seven years of sharing about Home Language Surveys,American Association of Applied Linguistics,Spring 2023
37,"Andrei, Elena",Presentation, Improving Home Language Surveys: Listening to multilingual teachers’ voices,TESOL International Convention,Spring 2023
38,"Andrei, Elena",Presentation, Newcomer ELs learning math: Math is not a universal language, TESOL International Convention,Spring 2023
39,"Bostwick, Eryn Nichole",Chapter,Arguing with family members about the 2016 Presidential Election: Characteristics of these political discussions,Local theories of argument,Spring 2021
40,"Bowen, Jeffrey Michael",Creative Production,Hot Soup on a Cool Late Summer Evening,"Neighborhood Voices Anthology published by Literary Cleveland in collaboration with the Cleveland Public Library (Cleveland, Ohio: Parafine Press, 2020) ISBN: 978-1-950843-37-4",Fall 2020
41,"Bowen, Jeffrey Michael",Creative Production,Smooth Edges,"Fall 2020 Edition of The Halcyone Literary Review from The Black Mountain Press. (Asheville, NC: Black Mountain Press, 2021) ISSN 2638-6526 ",Spring 2021
